theta,phi,rho,e_flux
3.141592653589793,5.416539057913436,-5.849862182546511,18.83537446001163
3.141592653589793,5.416539057913436,-5.416539057913436,16.74979666513145
3.141592653589793,5.416539057913436,-4.983215933280361,14.824647931395898
3.141592653589793,5.416539057913436,-4.549892808647287,13.059928258804979
3.141592653589793,5.416539057913436,-4.116569684014212,11.455637647358685
3.141592653589793,5.416539057913436,-3.6832465593811365,10.011776097057021
3.141592653589793,5.416539057913436,-3.249923434748062,8.728343607899987
3.141592653589793,5.416539057913436,-2.816600310114987,7.605340179887582
3.141592653589793,5.416539057913436,-2.3832771854819117,6.642765813019806
3.141592653589793,5.416539057913436,-1.949954060848837,5.84062050729666
3.141592653589793,5.416539057913436,-1.516630936215762,5.198904262718142
3.141592653589793,5.416539057913436,-1.0833078115826869,4.717617079284255
3.141592653589793,5.416539057913436,-0.6499846869496118,4.396758956994996
3.141592653589793,5.416539057913436,-0.21666156231653755,4.236329895850367
3.141592653589793,5.416539057913436,0.21666156231653755,4.236329895850367
3.141592653589793,5.416539057913436,0.6499846869496126,4.396758956994996
3.141592653589793,5.416539057913436,1.0833078115826877,4.717617079284255
3.141592653589793,5.416539057913436,1.5166309362157628,5.198904262718144
3.141592653589793,5.416539057913436,1.949954060848837,5.84062050729666
3.141592653589793,5.416539057913436,2.383277185481912,6.642765813019807
3.141592653589793,5.416539057913436,2.8166003101149872,7.605340179887582
3.141592653589793,5.416539057913436,3.2499234347480623,8.72834360789999
3.141592653589793,5.416539057913436,3.6832465593811374,10.011776097057023
3.141592653589793,5.416539057913436,4.1165696840142125,11.455637647358687
3.141592653589793,5.416539057913436,4.549892808647288,13.059928258804982
3.141592653589793,5.416539057913436,4.983215933280363,14.824647931395903
3.141592653589793,5.416539057913436,5.416539057913436,16.74979666513145
3.141592653589793,5.416539057913436,5.849862182546511,18.83537446001163
3.141592653589793,5.416539057913436,6.283185307179586,21.081381316036445
3.141592653589793,5.849862182546511,-6.283185307179586,10.297756320376276
3.141592653589793,5.849862182546511,-5.849862182546511,9.20063507625533
3.141592653589793,5.849862182546511,-5.416539057913436,8.181879635285881
3.141592653589793,5.849862182546511,-4.983215933280361,7.241489997467929
3.141592653589793,5.849862182546511,-4.549892808647287,6.379466162801474
3.141592653589793,5.849862182546511,-4.116569684014212,5.595808131286513
3.141592653589793,5.849862182546511,-3.6832465593811365,4.890515902923049
3.141592653589793,5.849862182546511,-3.249923434748062,4.263589477711081
3.141592653589793,5.849862182546511,-2.816600310114987,3.715028855650609
3.141592653589793,5.849862182546511,-2.3832771854819117,3.2448340367416324
3.141592653589793,5.849862182546511,-1.949954060848837,2.853005020984152
3.141592653589793,5.849862182546511,-1.516630936215762,2.539541808378168
3.141592653589793,5.849862182546511,-1.0833078115826869,2.30444439892368
3.141592653589793,5.849862182546511,-0.6499846869496118,2.147712792620688
3.141592653589793,5.849862182546511,-0.21666156231653755,2.069346989469192
3.141592653589793,5.849862182546511,0.21666156231653755,2.069346989469192
3.141592653589793,5.849862182546511,0.6499846869496126,2.147712792620688
3.141592653589793,5.849862182546511,1.0833078115826877,2.3044443989236805
3.141592653589793,5.849862182546511,1.5166309362157628,2.5395418083781687
3.141592653589793,5.849862182546511,1.949954060848837,2.853005020984152
3.141592653589793,5.849862182546511,2.383277185481912,3.244834036741633
3.141592653589793,5.849862182546511,2.8166003101149872,3.715028855650609
3.141592653589793,5.849862182546511,3.2499234347480623,4.263589477711082
3.141592653589793,5.849862182546511,3.6832465593811374,4.89051590292305
3.141592653589793,5.849862182546511,4.1165696840142125,5.595808131286515
3.141592653589793,5.849862182546511,4.549892808647288,6.379466162801476
3.141592653589793,5.849862182546511,4.983215933280363,7.241489997467932
3.141592653589793,5.849862182546511,5.416539057913436,8.181879635285881
3.141592653589793,5.849862182546511,5.849862182546511,9.20063507625533
3.141592653589793,5.849862182546511,6.283185307179586,10.297756320376276
3.141592653589793,6.283185307179586,-6.283185307179586,2.467401100272339
3.141592653589793,6.283185307179586,-5.849862182546511,2.2045245977938586
3.141592653589793,6.283185307179586,-5.416539057913436,1.9604249883495561
3.141592653589793,6.283185307179586,-4.983215933280361,1.7351022719394305
3.141592653589793,6.283185307179586,-4.549892808647287,1.5285564485634824
3.141592653589793,6.283185307179586,-4.116569684014212,1.3407875182217108
3.141592653589793,6.283185307179586,-3.6832465593811365,1.1717954809141167
3.141592653589793,6.283185307179586,-3.249923434748062,1.0215803366406997
3.141592653589793,6.283185307179586,-2.816600310114987,0.8901420854014598
3.141592653589793,6.283185307179586,-2.3832771854819117,0.7774807271963968
3.141592653589793,6.283185307179586,-1.949954060848837,0.6835962620255113
3.141592653589793,6.283185307179586,-1.516630936215762,0.6084886898888027
3.141592653589793,6.283185307179586,-1.0833078115826869,0.5521580107862714
3.141592653589793,6.283185307179586,-0.6499846869496118,0.5146042247179171
3.141592653589793,6.283185307179586,-0.21666156231653755,0.4958273316837399
3.141592653589793,6.283185307179586,0.21666156231653755,0.4958273316837399
3.141592653589793,6.283185307179586,0.6499846869496126,0.5146042247179171
3.141592653589793,6.283185307179586,1.0833078115826877,0.5521580107862714
3.141592653589793,6.283185307179586,1.5166309362157628,0.6084886898888029
3.141592653589793,6.283185307179586,1.949954060848837,0.6835962620255113
3.141592653589793,6.283185307179586,2.383277185481912,0.7774807271963969
3.141592653589793,6.283185307179586,2.8166003101149872,0.8901420854014598
3.141592653589793,6.283185307179586,3.2499234347480623,1.0215803366407
3.141592653589793,6.283185307179586,3.6832465593811374,1.171795480914117
3.141592653589793,6.283185307179586,4.1165696840142125,1.3407875182217113
3.141592653589793,6.283185307179586,4.549892808647288,1.5285564485634828
3.141592653589793,6.283185307179586,4.983215933280363,1.7351022719394311
3.141592653589793,6.283185307179586,5.416539057913436,1.9604249883495561
3.141592653589793,6.283185307179586,5.849862182546511,2.2045245977938586
3.141592653589793,6.283185307179586,6.283185307179586,2.467401100272339
