phi,rho,detJ
4.960409453036515,-3.6376335988934447,-6.498480887173355
4.960409453036515,-2.9762456718219092,-6.498480887311896
4.960409453036515,-2.314857744750374,-6.498480887381597
4.960409453036515,-1.6534698176788387,-6.498480885716055
4.960409453036515,-0.9920818906073032,-6.498480886582689
4.960409453036515,-0.33069396353576774,-6.498480886304456
4.960409453036515,0.33069396353576774,-6.498480885980357
4.960409453036515,0.9920818906073032,-6.498480887537811
4.960409453036515,1.6534698176788378,-6.498480885692108
4.960409453036515,2.3148577447503733,-6.498480887080889
4.960409453036515,2.976245671821909,-6.498480887077828
4.960409453036515,3.6376335988934443,-6.498480887594545
4.960409453036515,4.29902152596498,-6.49848088700011
4.960409453036515,4.960409453036515,-6.498480887393857
4.960409453036515,5.621797380108051,-6.498480886439508
4.960409453036515,6.283185307179586,-6.4984808871068305
5.621797380108051,-6.283185307179586,1.8139060365621242
5.621797380108051,-5.621797380108051,1.813906036086845
5.621797380108051,-4.960409453036515,1.8139060363433128
5.621797380108051,-4.29902152596498,1.8139060361008963
5.621797380108051,-3.6376335988934447,1.8139060367208986
5.621797380108051,-2.9762456718219092,1.8139060368220106
5.621797380108051,-2.314857744750374,1.8139060371142908
5.621797380108051,-1.6534698176788387,1.8139060359622425
5.621797380108051,-0.9920818906073032,1.8139060362590318
5.621797380108051,-0.33069396353576774,1.8139060358414065
5.621797380108051,0.33069396353576774,1.8139060357775965
5.621797380108051,0.9920818906073032,1.8139060359690398
5.621797380108051,1.6534698176788378,1.8139060356875176
5.621797380108051,2.3148577447503733,1.813906036014716
5.621797380108051,2.976245671821909,1.8139060366083064
5.621797380108051,3.6376335988934443,1.8139060368209456
5.621797380108051,4.29902152596498,1.8139060365941744
5.621797380108051,4.960409453036515,1.8139060364798072
5.621797380108051,5.621797380108051,1.8139060362112926
5.621797380108051,6.283185307179586,1.8139060364562718
6.283185307179586,-6.283185307179586,7.389056101191935
6.283185307179586,-5.621797380108051,7.389056101131958
6.283185307179586,-4.960409453036515,7.389056100947897
6.283185307179586,-4.29902152596498,7.389056101099534
6.283185307179586,-3.6376335988934447,7.389056100737868
6.283185307179586,-2.9762456718219092,7.3890561011517875
6.283185307179586,-2.314857744750374,7.389056101176487
6.283185307179586,-1.6534698176788387,7.389056099393367
6.283185307179586,-0.9920818906073032,7.3890561000878625
6.283185307179586,-0.33069396353576774,7.38905609989127
6.283185307179586,0.33069396353576774,7.389056099878105
6.283185307179586,0.9920818906073032,7.38905610002291
6.283185307179586,1.6534698176788378,7.389056099823742
6.283185307179586,2.3148577447503733,7.3890561004046384
6.283185307179586,2.976245671821909,7.38905610112294
6.283185307179586,3.6376335988934443,7.3890561011742815
6.283185307179586,4.29902152596498,7.389056101067584
6.283185307179586,4.960409453036515,7.389056101093585
6.283185307179586,5.621797380108051,7.389056101102127
6.283185307179586,6.283185307179586,7.389056101191935
