family,function_class,omega,theta,phi,rho,omega_label,theta_label,phi_label,rho_label,alpha,beta,gamma,delta,R,q0,q1,q2,q3,norm,vector_mag,jac_det,jac_rank,vacuum_hit,sign_flip_hit,singular_sheet_hit,q_hash
periodic_simple,P,3.141592653589793,-6.283185307179586,-3.141592653589793,0.0,pi,-2pi,-pi,0,4.286263797015736e-17,5.388445916248355e-16,-2.6942229581241775e-16,0.0,6.02446568090623e-16,1.0,5.388445916248355e-16,-2.6942229581241775e-16,0.0,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,-3.141592653589793,3.141592653589793,pi,-2pi,-pi,pi,4.286263797015736e-17,5.388445916248355e-16,-2.6942229581241775e-16,2.6942229581241775e-16,6.599471500696125e-16,1.0,5.388445916248355e-16,-2.6942229581241775e-16,2.6942229581241775e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,-3.141592653589793,6.283185307179586,pi,-2pi,-pi,2pi,4.286263797015736e-17,5.388445916248355e-16,-2.6942229581241775e-16,-5.388445916248355e-16,8.082668874372533e-16,1.0,5.388445916248355e-16,-2.6942229581241775e-16,-5.388445916248355e-16,1.0,8.082668874372533e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,0.0,-6.283185307179586,pi,-2pi,0,-2pi,4.286263797015736e-17,5.388445916248355e-16,0.0,5.388445916248355e-16,7.620413294872342e-16,1.0,5.388445916248355e-16,0.0,5.388445916248355e-16,1.0,7.620413294872342e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,0.0,-3.141592653589793,pi,-2pi,0,-pi,4.286263797015736e-17,5.388445916248355e-16,0.0,-2.6942229581241775e-16,6.02446568090623e-16,1.0,5.388445916248355e-16,0.0,-2.6942229581241775e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,0.0,0.0,pi,-2pi,0,0,4.286263797015736e-17,5.388445916248355e-16,0.0,0.0,5.388445916248355e-16,1.0,5.388445916248355e-16,0.0,0.0,1.0,5.388445916248355e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,0.0,3.141592653589793,pi,-2pi,0,pi,4.286263797015736e-17,5.388445916248355e-16,0.0,2.6942229581241775e-16,6.02446568090623e-16,1.0,5.388445916248355e-16,0.0,2.6942229581241775e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,0.0,6.283185307179586,pi,-2pi,0,2pi,4.286263797015736e-17,5.388445916248355e-16,0.0,-5.388445916248355e-16,7.620413294872342e-16,1.0,5.388445916248355e-16,0.0,-5.388445916248355e-16,1.0,7.620413294872342e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,3.141592653589793,-6.283185307179586,pi,-2pi,pi,-2pi,4.286263797015736e-17,5.388445916248355e-16,2.6942229581241775e-16,5.388445916248355e-16,8.082668874372533e-16,1.0,5.388445916248355e-16,2.6942229581241775e-16,5.388445916248355e-16,1.0,8.082668874372533e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,3.141592653589793,-3.141592653589793,pi,-2pi,pi,-pi,4.286263797015736e-17,5.388445916248355e-16,2.6942229581241775e-16,-2.6942229581241775e-16,6.599471500696125e-16,1.0,5.388445916248355e-16,2.6942229581241775e-16,-2.6942229581241775e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,3.141592653589793,0.0,pi,-2pi,pi,0,4.286263797015736e-17,5.388445916248355e-16,2.6942229581241775e-16,0.0,6.02446568090623e-16,1.0,5.388445916248355e-16,2.6942229581241775e-16,0.0,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,3.141592653589793,3.141592653589793,pi,-2pi,pi,pi,4.286263797015736e-17,5.388445916248355e-16,2.6942229581241775e-16,2.6942229581241775e-16,6.599471500696125e-16,1.0,5.388445916248355e-16,2.6942229581241775e-16,2.6942229581241775e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,3.141592653589793,6.283185307179586,pi,-2pi,pi,2pi,4.286263797015736e-17,5.388445916248355e-16,2.6942229581241775e-16,-5.388445916248355e-16,8.082668874372533e-16,1.0,5.388445916248355e-16,2.6942229581241775e-16,-5.388445916248355e-16,1.0,8.082668874372533e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,6.283185307179586,-6.283185307179586,pi,-2pi,2pi,-2pi,4.286263797015736e-17,5.388445916248355e-16,-5.388445916248355e-16,5.388445916248355e-16,9.333062100779182e-16,1.0,5.388445916248355e-16,-5.388445916248355e-16,5.388445916248355e-16,1.0,9.333062100779182e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,6.283185307179586,-3.141592653589793,pi,-2pi,2pi,-pi,4.286263797015736e-17,5.388445916248355e-16,-5.388445916248355e-16,-2.6942229581241775e-16,8.082668874372533e-16,1.0,5.388445916248355e-16,-5.388445916248355e-16,-2.6942229581241775e-16,1.0,8.082668874372533e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,6.283185307179586,0.0,pi,-2pi,2pi,0,4.286263797015736e-17,5.388445916248355e-16,-5.388445916248355e-16,0.0,7.620413294872342e-16,1.0,5.388445916248355e-16,-5.388445916248355e-16,0.0,1.0,7.620413294872342e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,6.283185307179586,3.141592653589793,pi,-2pi,2pi,pi,4.286263797015736e-17,5.388445916248355e-16,-5.388445916248355e-16,2.6942229581241775e-16,8.082668874372533e-16,1.0,5.388445916248355e-16,-5.388445916248355e-16,2.6942229581241775e-16,1.0,8.082668874372533e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-6.283185307179586,6.283185307179586,6.283185307179586,pi,-2pi,2pi,2pi,4.286263797015736e-17,5.388445916248355e-16,-5.388445916248355e-16,-5.388445916248355e-16,9.333062100779182e-16,1.0,5.388445916248355e-16,-5.388445916248355e-16,-5.388445916248355e-16,1.0,9.333062100779182e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,-6.283185307179586,-6.283185307179586,pi,-pi,-2pi,-2pi,4.286263797015736e-17,-2.6942229581241775e-16,5.388445916248355e-16,5.388445916248355e-16,8.082668874372533e-16,1.0,-2.6942229581241775e-16,5.388445916248355e-16,5.388445916248355e-16,1.0,8.082668874372533e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,-6.283185307179586,-3.141592653589793,pi,-pi,-2pi,-pi,4.286263797015736e-17,-2.6942229581241775e-16,5.388445916248355e-16,-2.6942229581241775e-16,6.599471500696125e-16,1.0,-2.6942229581241775e-16,5.388445916248355e-16,-2.6942229581241775e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,-6.283185307179586,0.0,pi,-pi,-2pi,0,4.286263797015736e-17,-2.6942229581241775e-16,5.388445916248355e-16,0.0,6.02446568090623e-16,1.0,-2.6942229581241775e-16,5.388445916248355e-16,0.0,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,-6.283185307179586,3.141592653589793,pi,-pi,-2pi,pi,4.286263797015736e-17,-2.6942229581241775e-16,5.388445916248355e-16,2.6942229581241775e-16,6.599471500696125e-16,1.0,-2.6942229581241775e-16,5.388445916248355e-16,2.6942229581241775e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,-6.283185307179586,6.283185307179586,pi,-pi,-2pi,2pi,4.286263797015736e-17,-2.6942229581241775e-16,5.388445916248355e-16,-5.388445916248355e-16,8.082668874372533e-16,1.0,-2.6942229581241775e-16,5.388445916248355e-16,-5.388445916248355e-16,1.0,8.082668874372533e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,-3.141592653589793,-6.283185307179586,pi,-pi,-pi,-2pi,4.286263797015736e-17,-2.6942229581241775e-16,-2.6942229581241775e-16,5.388445916248355e-16,6.599471500696125e-16,1.0,-2.6942229581241775e-16,-2.6942229581241775e-16,5.388445916248355e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,pi,-pi,-pi,-pi,4.286263797015736e-17,-2.6942229581241775e-16,-2.6942229581241775e-16,-2.6942229581241775e-16,4.666531050389591e-16,1.0,-2.6942229581241775e-16,-2.6942229581241775e-16,-2.6942229581241775e-16,1.0,4.666531050389591e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,-3.141592653589793,0.0,pi,-pi,-pi,0,4.286263797015736e-17,-2.6942229581241775e-16,-2.6942229581241775e-16,0.0,3.810206647436171e-16,1.0,-2.6942229581241775e-16,-2.6942229581241775e-16,0.0,1.0,3.810206647436171e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,-3.141592653589793,3.141592653589793,pi,-pi,-pi,pi,4.286263797015736e-17,-2.6942229581241775e-16,-2.6942229581241775e-16,2.6942229581241775e-16,4.666531050389591e-16,1.0,-2.6942229581241775e-16,-2.6942229581241775e-16,2.6942229581241775e-16,1.0,4.666531050389591e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,-3.141592653589793,6.283185307179586,pi,-pi,-pi,2pi,4.286263797015736e-17,-2.6942229581241775e-16,-2.6942229581241775e-16,-5.388445916248355e-16,6.599471500696125e-16,1.0,-2.6942229581241775e-16,-2.6942229581241775e-16,-5.388445916248355e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,0.0,-6.283185307179586,pi,-pi,0,-2pi,4.286263797015736e-17,-2.6942229581241775e-16,0.0,5.388445916248355e-16,6.02446568090623e-16,1.0,-2.6942229581241775e-16,0.0,5.388445916248355e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,0.0,-3.141592653589793,pi,-pi,0,-pi,4.286263797015736e-17,-2.6942229581241775e-16,0.0,-2.6942229581241775e-16,3.810206647436171e-16,1.0,-2.6942229581241775e-16,0.0,-2.6942229581241775e-16,1.0,3.810206647436171e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,0.0,0.0,pi,-pi,0,0,4.286263797015736e-17,-2.6942229581241775e-16,0.0,0.0,2.6942229581241775e-16,1.0,-2.6942229581241775e-16,0.0,0.0,1.0,2.6942229581241775e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,0.0,3.141592653589793,pi,-pi,0,pi,4.286263797015736e-17,-2.6942229581241775e-16,0.0,2.6942229581241775e-16,3.810206647436171e-16,1.0,-2.6942229581241775e-16,0.0,2.6942229581241775e-16,1.0,3.810206647436171e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,0.0,6.283185307179586,pi,-pi,0,2pi,4.286263797015736e-17,-2.6942229581241775e-16,0.0,-5.388445916248355e-16,6.02446568090623e-16,1.0,-2.6942229581241775e-16,0.0,-5.388445916248355e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,3.141592653589793,-6.283185307179586,pi,-pi,pi,-2pi,4.286263797015736e-17,-2.6942229581241775e-16,2.6942229581241775e-16,5.388445916248355e-16,6.599471500696125e-16,1.0,-2.6942229581241775e-16,2.6942229581241775e-16,5.388445916248355e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,3.141592653589793,-3.141592653589793,pi,-pi,pi,-pi,4.286263797015736e-17,-2.6942229581241775e-16,2.6942229581241775e-16,-2.6942229581241775e-16,4.666531050389591e-16,1.0,-2.6942229581241775e-16,2.6942229581241775e-16,-2.6942229581241775e-16,1.0,4.666531050389591e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,3.141592653589793,0.0,pi,-pi,pi,0,4.286263797015736e-17,-2.6942229581241775e-16,2.6942229581241775e-16,0.0,3.810206647436171e-16,1.0,-2.6942229581241775e-16,2.6942229581241775e-16,0.0,1.0,3.810206647436171e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,3.141592653589793,3.141592653589793,pi,-pi,pi,pi,4.286263797015736e-17,-2.6942229581241775e-16,2.6942229581241775e-16,2.6942229581241775e-16,4.666531050389591e-16,1.0,-2.6942229581241775e-16,2.6942229581241775e-16,2.6942229581241775e-16,1.0,4.666531050389591e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,3.141592653589793,6.283185307179586,pi,-pi,pi,2pi,4.286263797015736e-17,-2.6942229581241775e-16,2.6942229581241775e-16,-5.388445916248355e-16,6.599471500696125e-16,1.0,-2.6942229581241775e-16,2.6942229581241775e-16,-5.388445916248355e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,6.283185307179586,-6.283185307179586,pi,-pi,2pi,-2pi,4.286263797015736e-17,-2.6942229581241775e-16,-5.388445916248355e-16,5.388445916248355e-16,8.082668874372533e-16,1.0,-2.6942229581241775e-16,-5.388445916248355e-16,5.388445916248355e-16,1.0,8.082668874372533e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,6.283185307179586,-3.141592653589793,pi,-pi,2pi,-pi,4.286263797015736e-17,-2.6942229581241775e-16,-5.388445916248355e-16,-2.6942229581241775e-16,6.599471500696125e-16,1.0,-2.6942229581241775e-16,-5.388445916248355e-16,-2.6942229581241775e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,6.283185307179586,0.0,pi,-pi,2pi,0,4.286263797015736e-17,-2.6942229581241775e-16,-5.388445916248355e-16,0.0,6.02446568090623e-16,1.0,-2.6942229581241775e-16,-5.388445916248355e-16,0.0,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,6.283185307179586,3.141592653589793,pi,-pi,2pi,pi,4.286263797015736e-17,-2.6942229581241775e-16,-5.388445916248355e-16,2.6942229581241775e-16,6.599471500696125e-16,1.0,-2.6942229581241775e-16,-5.388445916248355e-16,2.6942229581241775e-16,1.0,6.599471500696125e-16,-3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,-3.141592653589793,6.283185307179586,6.283185307179586,pi,-pi,2pi,2pi,4.286263797015736e-17,-2.6942229581241775e-16,-5.388445916248355e-16,-5.388445916248355e-16,8.082668874372533e-16,1.0,-2.6942229581241775e-16,-5.388445916248355e-16,-5.388445916248355e-16,1.0,8.082668874372533e-16,3.7268000000000012,4,True,False,False,1.0000000000|-0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,0.0,-6.283185307179586,-6.283185307179586,pi,0,-2pi,-2pi,4.286263797015736e-17,0.0,5.388445916248355e-16,5.388445916248355e-16,7.620413294872342e-16,1.0,0.0,5.388445916248355e-16,5.388445916248355e-16,1.0,7.620413294872342e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,-6.283185307179586,-3.141592653589793,pi,0,-2pi,-pi,4.286263797015736e-17,0.0,5.388445916248355e-16,-2.6942229581241775e-16,6.02446568090623e-16,1.0,0.0,5.388445916248355e-16,-2.6942229581241775e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,0.0,-6.283185307179586,0.0,pi,0,-2pi,0,4.286263797015736e-17,0.0,5.388445916248355e-16,0.0,5.388445916248355e-16,1.0,0.0,5.388445916248355e-16,0.0,1.0,5.388445916248355e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,-6.283185307179586,3.141592653589793,pi,0,-2pi,pi,4.286263797015736e-17,0.0,5.388445916248355e-16,2.6942229581241775e-16,6.02446568090623e-16,1.0,0.0,5.388445916248355e-16,2.6942229581241775e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,-6.283185307179586,6.283185307179586,pi,0,-2pi,2pi,4.286263797015736e-17,0.0,5.388445916248355e-16,-5.388445916248355e-16,7.620413294872342e-16,1.0,0.0,5.388445916248355e-16,-5.388445916248355e-16,1.0,7.620413294872342e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,0.0,-3.141592653589793,-6.283185307179586,pi,0,-pi,-2pi,4.286263797015736e-17,0.0,-2.6942229581241775e-16,5.388445916248355e-16,6.02446568090623e-16,1.0,0.0,-2.6942229581241775e-16,5.388445916248355e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,-3.141592653589793,-3.141592653589793,pi,0,-pi,-pi,4.286263797015736e-17,0.0,-2.6942229581241775e-16,-2.6942229581241775e-16,3.810206647436171e-16,1.0,0.0,-2.6942229581241775e-16,-2.6942229581241775e-16,1.0,3.810206647436171e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,0.0,-3.141592653589793,0.0,pi,0,-pi,0,4.286263797015736e-17,0.0,-2.6942229581241775e-16,0.0,2.6942229581241775e-16,1.0,0.0,-2.6942229581241775e-16,0.0,1.0,2.6942229581241775e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,-3.141592653589793,3.141592653589793,pi,0,-pi,pi,4.286263797015736e-17,0.0,-2.6942229581241775e-16,2.6942229581241775e-16,3.810206647436171e-16,1.0,0.0,-2.6942229581241775e-16,2.6942229581241775e-16,1.0,3.810206647436171e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,-3.141592653589793,6.283185307179586,pi,0,-pi,2pi,4.286263797015736e-17,0.0,-2.6942229581241775e-16,-5.388445916248355e-16,6.02446568090623e-16,1.0,0.0,-2.6942229581241775e-16,-5.388445916248355e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,0.0,0.0,-6.283185307179586,pi,0,0,-2pi,4.286263797015736e-17,0.0,0.0,5.388445916248355e-16,5.388445916248355e-16,1.0,0.0,0.0,5.388445916248355e-16,1.0,5.388445916248355e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,0.0,-3.141592653589793,pi,0,0,-pi,4.286263797015736e-17,0.0,0.0,-2.6942229581241775e-16,2.6942229581241775e-16,1.0,0.0,0.0,-2.6942229581241775e-16,1.0,2.6942229581241775e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,0.0,0.0,0.0,pi,0,0,0,4.286263797015736e-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,0.0,3.141592653589793,pi,0,0,pi,4.286263797015736e-17,0.0,0.0,2.6942229581241775e-16,2.6942229581241775e-16,1.0,0.0,0.0,2.6942229581241775e-16,1.0,2.6942229581241775e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,0.0,6.283185307179586,pi,0,0,2pi,4.286263797015736e-17,0.0,0.0,-5.388445916248355e-16,5.388445916248355e-16,1.0,0.0,0.0,-5.388445916248355e-16,1.0,5.388445916248355e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,0.0,3.141592653589793,-6.283185307179586,pi,0,pi,-2pi,4.286263797015736e-17,0.0,2.6942229581241775e-16,5.388445916248355e-16,6.02446568090623e-16,1.0,0.0,2.6942229581241775e-16,5.388445916248355e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,3.141592653589793,-3.141592653589793,pi,0,pi,-pi,4.286263797015736e-17,0.0,2.6942229581241775e-16,-2.6942229581241775e-16,3.810206647436171e-16,1.0,0.0,2.6942229581241775e-16,-2.6942229581241775e-16,1.0,3.810206647436171e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,0.0,3.141592653589793,0.0,pi,0,pi,0,4.286263797015736e-17,0.0,2.6942229581241775e-16,0.0,2.6942229581241775e-16,1.0,0.0,2.6942229581241775e-16,0.0,1.0,2.6942229581241775e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,3.141592653589793,3.141592653589793,pi,0,pi,pi,4.286263797015736e-17,0.0,2.6942229581241775e-16,2.6942229581241775e-16,3.810206647436171e-16,1.0,0.0,2.6942229581241775e-16,2.6942229581241775e-16,1.0,3.810206647436171e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,3.141592653589793,6.283185307179586,pi,0,pi,2pi,4.286263797015736e-17,0.0,2.6942229581241775e-16,-5.388445916248355e-16,6.02446568090623e-16,1.0,0.0,2.6942229581241775e-16,-5.388445916248355e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,0.0,6.283185307179586,-6.283185307179586,pi,0,2pi,-2pi,4.286263797015736e-17,0.0,-5.388445916248355e-16,5.388445916248355e-16,7.620413294872342e-16,1.0,0.0,-5.388445916248355e-16,5.388445916248355e-16,1.0,7.620413294872342e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,6.283185307179586,-3.141592653589793,pi,0,2pi,-pi,4.286263797015736e-17,0.0,-5.388445916248355e-16,-2.6942229581241775e-16,6.02446568090623e-16,1.0,0.0,-5.388445916248355e-16,-2.6942229581241775e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,0.0,6.283185307179586,0.0,pi,0,2pi,0,4.286263797015736e-17,0.0,-5.388445916248355e-16,0.0,5.388445916248355e-16,1.0,0.0,-5.388445916248355e-16,0.0,1.0,5.388445916248355e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,6.283185307179586,3.141592653589793,pi,0,2pi,pi,4.286263797015736e-17,0.0,-5.388445916248355e-16,2.6942229581241775e-16,6.02446568090623e-16,1.0,0.0,-5.388445916248355e-16,2.6942229581241775e-16,1.0,6.02446568090623e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|0.0000000000
periodic_simple,P,3.141592653589793,0.0,6.283185307179586,6.283185307179586,pi,0,2pi,2pi,4.286263797015736e-17,0.0,-5.388445916248355e-16,-5.388445916248355e-16,7.620413294872342e-16,1.0,0.0,-5.388445916248355e-16,-5.388445916248355e-16,1.0,7.620413294872342e-16,-3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|-0.0000000000|-0.0000000000
periodic_simple,P,3.141592653589793,3.141592653589793,-6.283185307179586,-6.283185307179586,pi,pi,-2pi,-2pi,4.286263797015736e-17,2.6942229581241775e-16,5.388445916248355e-16,5.388445916248355e-16,8.082668874372533e-16,1.0,2.6942229581241775e-16,5.388445916248355e-16,5.388445916248355e-16,1.0,8.082668874372533e-16,3.7268000000000012,4,True,False,False,1.0000000000|0.0000000000|0.0000000000|0.0000000000
